Time (s),FBG (nm)
70.7,-0.4565
70.731,-0.4557
70.761,-0.4595
70.789,-0.4645
70.819,-0.4738
70.849,-0.4779
70.879,-0.4771
70.909,-0.4751
70.938,-0.4747
70.968,-0.4739
70.996,-0.4719
71.027,-0.4637
71.06,-0.4618
71.085,-0.4649
71.116,-0.4649
71.145,-0.4629
71.175,-0.4633
71.205,-0.4625
71.233,-0.4614
71.263,-0.4573
71.293,-0.4609
71.323,-0.4573
71.352,-0.4557
71.385,-0.4566
71.411,-0.4561
71.442,-0.4542
71.47,-0.4543
71.501,-0.4564
71.53,-0.4556
71.559,-0.4541
71.589,-0.4524
71.619,-0.4551
71.649,-0.4637
71.685,-0.4692
71.707,-0.4727
71.74,-0.475
71.766,-0.4719
71.798,-0.4709
71.827,-0.4684
71.855,-0.4651
71.885,-0.4682
71.915,-0.4673
71.944,-0.4679
71.975,-0.465
72.004,-0.4678
72.033,-0.4653
72.064,-0.4634
72.092,-0.4645
72.125,-0.4597
72.153,-0.4611
72.181,-0.4581
72.212,-0.4604
72.24,-0.4579
72.271,-0.4601
72.3,-0.4587
72.329,-0.4548
72.359,-0.4571
72.396,-0.4566
72.418,-0.4625
72.448,-0.47
72.477,-0.4761
72.507,-0.4798
72.541,-0.478
72.57,-0.4753
72.601,-0.4731
72.626,-0.4694
72.656,-0.4669
72.685,-0.4651
72.714,-0.4678
72.745,-0.4651
72.774,-0.4658
72.803,-0.466
72.833,-0.4617
72.863,-0.4628
72.892,-0.4573
72.922,-0.4595
72.952,-0.4562
72.981,-0.4528
73.012,-0.456
73.04,-0.4526
73.07,-0.4546
73.1,-0.4544
73.132,-0.4541
73.159,-0.4532
73.189,-0.4508
73.226,-0.4496
73.248,-0.4533
73.277,-0.4613
73.307,-0.4705
73.337,-0.4747
73.366,-0.4687
73.4,-0.4683
73.426,-0.4685
73.455,-0.4673
73.485,-0.4657
73.515,-0.4651
73.555,-0.4612
73.575,-0.4629
73.604,-0.4606
73.633,-0.4605
73.663,-0.4636
73.692,-0.4599
73.722,-0.4563
73.752,-0.4573
73.781,-0.4525
73.811,-0.4543
73.841,-0.455
73.87,-0.4531
73.901,-0.4537
73.928,-0.4532
73.958,-0.4504
73.989,-0.4526
74.018,-0.4486
74.057,-0.4518
74.078,-0.4614
74.107,-0.4676
74.137,-0.4701
74.168,-0.4709
74.196,-0.4698
74.226,-0.4669
74.255,-0.4661
74.289,-0.4672
74.314,-0.4663
74.343,-0.4651
74.373,-0.4607
74.403,-0.4615
74.433,-0.4618
74.463,-0.4596
74.491,-0.4592
74.522,-0.4593
74.551,-0.459
74.58,-0.4561
74.61,-0.4552
74.641,-0.4566
74.67,-0.4565
74.7,-0.4527
74.728,-0.4496
74.759,-0.4511
74.789,-0.4517
74.818,-0.4613
74.848,-0.4665
74.878,-0.4733
74.907,-0.4737
74.937,-0.4695
74.966,-0.468
74.996,-0.4681
75.026,-0.4673
75.056,-0.4604
75.085,-0.4612
75.114,-0.4597
75.144,-0.4595
75.174,-0.4592
75.203,-0.4605
75.232,-0.4558
75.262,-0.4523
75.291,-0.4553
75.322,-0.4499
75.351,-0.4515
75.382,-0.4509
75.41,-0.4534
75.44,-0.4507
75.47,-0.4498
75.5,-0.4467
75.529,-0.4474
75.559,-0.4467
75.588,-0.4487
75.617,-0.4457
75.647,-0.4532
75.677,-0.4601
75.706,-0.4658
75.736,-0.4692
75.766,-0.4675
75.796,-0.4684
75.825,-0.4675
75.854,-0.4656
75.885,-0.4615
75.915,-0.4594
75.944,-0.4587
75.973,-0.4601
76.002,-0.4601
76.032,-0.4594
76.063,-0.4579
76.092,-0.4565
76.122,-0.4551
76.151,-0.4567
76.18,-0.4545
76.21,-0.4544
76.239,-0.4534
76.269,-0.4521
76.299,-0.4514
76.328,-0.4491
76.358,-0.4497
76.388,-0.4488
76.417,-0.4491
76.447,-0.4493
76.476,-0.4484
76.506,-0.4573
76.536,-0.4653
76.566,-0.4667
76.596,-0.4675
76.625,-0.4611
76.654,-0.4627
76.684,-0.4597
76.714,-0.4568
76.743,-0.4568
76.773,-0.4554
76.803,-0.4555
76.832,-0.4553
76.862,-0.4548
76.892,-0.4545
76.921,-0.4524
76.951,-0.4523
76.98,-0.4474
77.01,-0.4479
77.04,-0.4471
77.069,-0.4474
77.099,-0.4451
77.13,-0.4485
77.159,-0.445
77.188,-0.4432
77.218,-0.4451
77.247,-0.4435
77.279,-0.4449
77.306,-0.4504
77.336,-0.4582
77.366,-0.4626
77.395,-0.4617
77.425,-0.4618
77.454,-0.4623
77.484,-0.4589
77.514,-0.4535
77.543,-0.4527
77.573,-0.4516
77.604,-0.4525
77.632,-0.4507
77.662,-0.452
77.691,-0.4524
77.722,-0.4506
77.751,-0.4472
77.78,-0.4466
77.81,-0.4443
77.84,-0.4423
77.869,-0.4404
77.899,-0.4433
77.929,-0.4413
77.958,-0.4405
77.988,-0.4408
78.018,-0.4389
78.046,-0.4374
78.076,-0.4363
78.105,-0.4382
78.136,-0.4369
78.166,-0.4485
78.195,-0.4567
78.225,-0.4623
78.254,-0.4586
78.284,-0.4561
78.314,-0.4575
78.343,-0.4548
78.373,-0.4505
78.403,-0.4512
78.436,-0.4489
78.466,-0.4537
78.494,-0.4477
78.525,-0.4492
78.551,-0.4468
78.58,-0.4431
78.61,-0.4429
78.639,-0.442
78.668,-0.4422
78.698,-0.4398
78.728,-0.4388
78.758,-0.44
78.792,-0.4389
78.817,-0.4371
78.847,-0.4399
78.876,-0.4396
78.909,-0.4386
78.935,-0.4496
78.964,-0.4526
78.994,-0.4567
79.025,-0.4564
79.054,-0.4537
79.084,-0.4528
79.113,-0.4526
79.143,-0.4465
79.173,-0.4482
79.203,-0.4462
79.233,-0.4448
79.262,-0.4473
79.29,-0.446
79.321,-0.4451
79.35,-0.4426
79.379,-0.4444
79.409,-0.4434
79.439,-0.4417
79.468,-0.444
79.5,-0.4398
79.527,-0.4377
