time,wavelength_shift_1,wavelength_shift_2
0.008,-0.5846,-0.4173
0.017,-0.5846,-0.418
0.025,-0.5832,-0.4188
0.033,-0.5841,-0.4183
0.04,-0.5827,-0.4163
0.049,-0.5844,-0.4183
0.057,-0.5857,-0.4206
0.065,-0.5815,-0.4194
0.073,-0.5824,-0.4196
0.081,-0.5837,-0.42
0.091,-0.5815,-0.4169
0.101,-0.5849,-0.4174
0.109,-0.583,-0.4174
0.118,-0.5833,-0.4203
0.126,-0.582,-0.4172
0.134,-0.5863,-0.4164
0.142,-0.5831,-0.4188
0.151,-0.5815,-0.4179
0.187,-0.5845,-0.4209
0.216,-0.5858,-0.4228
0.244,-0.5842,-0.4221
0.273,-0.5857,-0.4233
0.303,-0.5866,-0.4206
0.332,-0.5845,-0.4218
0.362,-0.5839,-0.4214
0.4,-0.5823,-0.4213
0.421,-0.5869,-0.4225
0.451,-0.5842,-0.4201
0.479,-0.5863,-0.4232
0.51,-0.5845,-0.4213
0.54,-0.5863,-0.4216
0.585,-0.5863,-0.4225
0.599,-0.5854,-0.421
0.628,-0.5846,-0.4221
0.658,-0.5855,-0.4214
0.688,-0.581,-0.4241
0.717,-0.5891,-0.4213
0.747,-0.5844,-0.4221
0.777,-0.5869,-0.4235
0.806,-0.5836,-0.4206
0.835,-0.5862,-0.4192
0.864,-0.5848,-0.4222
0.894,-0.584,-0.4202
0.925,-0.5835,-0.4217
0.959,-0.5803,-0.4225
1.006,-0.5847,-0.421
1.019,-0.5837,-0.42
1.042,-0.5859,-0.4222
1.073,-0.5842,-0.4217
1.103,-0.5861,-0.4217
1.132,-0.5816,-0.4243
1.162,-0.588,-0.4195
1.19,-0.5881,-0.4214
1.22,-0.5838,-0.4228
1.249,-0.5831,-0.4183
1.279,-0.586,-0.4229
1.31,-0.5863,-0.4256
1.339,-0.5859,-0.4184
1.368,-0.5839,-0.4242
1.397,-0.5801,-0.4235
1.428,-0.5829,-0.42
1.457,-0.5855,-0.4213
1.487,-0.5883,-0.4266
1.522,-0.5837,-0.4236
1.546,-0.5849,-0.4236
1.576,-0.5868,-0.4222
1.606,-0.5837,-0.4228
1.634,-0.5853,-0.4204
1.664,-0.5853,-0.4224
1.694,-0.5851,-0.4227
1.724,-0.5832,-0.4193
1.754,-0.5873,-0.4195
1.782,-0.5857,-0.4238
1.812,-0.5892,-0.4232
1.844,-0.5865,-0.4236
1.872,-0.5849,-0.4223
1.901,-0.5851,-0.4221
1.931,-0.5852,-0.4252
1.96,-0.5876,-0.4218
1.99,-0.5867,-0.4229
2.02,-0.5854,-0.4228
2.05,-0.5855,-0.4239
2.079,-0.5824,-0.4222
2.108,-0.5851,-0.4211
2.139,-0.5839,-0.4222
2.177,-0.5873,-0.4228
2.197,-0.5875,-0.4204
2.227,-0.5834,-0.4222
2.256,-0.5859,-0.4212
2.286,-0.5845,-0.4227
2.316,-0.5871,-0.4244
2.345,-0.5859,-0.4213
2.375,-0.5826,-0.4241
2.406,-0.584,-0.4241
2.434,-0.5895,-0.4254
2.464,-0.5846,-0.4225
2.493,-0.5829,-0.4214
2.523,-0.5868,-0.4225
2.552,-0.584,-0.4252
2.582,-0.5829,-0.4245
2.612,-0.584,-0.4243
2.644,-0.5832,-0.4211
2.671,-0.5857,-0.4224
2.701,-0.5847,-0.4222
2.733,-0.5802,-0.4245
2.761,-0.5849,-0.4215
2.789,-0.5855,-0.4206
2.819,-0.5852,-0.4236
2.849,-0.5863,-0.4224
2.878,-0.5833,-0.422
2.91,-0.5851,-0.4229
2.937,-0.5844,-0.4243
2.967,-0.584,-0.4232
2.997,-0.5869,-0.4212
3.027,-0.5841,-0.4233
3.056,-0.5835,-0.4246
3.086,-0.5837,-0.4238
3.115,-0.5832,-0.4225
3.145,-0.5844,-0.4222
3.174,-0.5868,-0.4225
3.204,-0.589,-0.4246
3.234,-0.5835,-0.4243
3.263,-0.5865,-0.4271
3.293,-0.5871,-0.424
3.325,-0.5865,-0.424
3.354,-0.5849,-0.4235
3.382,-0.5841,-0.4243
3.411,-0.5837,-0.4229
3.441,-0.5849,-0.4271
3.47,-0.5841,-0.4235
3.504,-0.5824,-0.4242
3.53,-0.5858,-0.4252
3.559,-0.5865,-0.4258
3.589,-0.5844,-0.425
3.634,-0.5854,-0.4229
3.648,-0.5823,-0.4246
3.678,-0.5849,-0.4231
3.706,-0.5836,-0.4208
3.737,-0.585,-0.4223
3.767,-0.5866,-0.4243
3.797,-0.5869,-0.4264
3.826,-0.5832,-0.4271
3.856,-0.5846,-0.427
3.885,-0.5875,-0.4235
3.916,-0.5858,-0.4252
3.945,-0.5857,-0.4274
3.974,-0.5811,-0.425
4.004,-0.5833,-0.4249
4.032,-0.5849,-0.4234
4.063,-0.5869,-0.4254
4.093,-0.5822,-0.4239
4.122,-0.5846,-0.4264
4.152,-0.5852,-0.4256
4.181,-0.585,-0.4246
4.211,-0.5863,-0.425
4.241,-0.5818,-0.4249
4.27,-0.5897,-0.4264
4.299,-0.5836,-0.4265
4.328,-0.5863,-0.4275
4.358,-0.5852,-0.4269
4.39,-0.5846,-0.4303
4.417,-0.5852,-0.4268
4.447,-0.5844,-0.4232
4.478,-0.5855,-0.4271
4.507,-0.5854,-0.4264
4.536,-0.5844,-0.4269
4.566,-0.584,-0.4278
4.596,-0.5852,-0.4261
4.625,-0.5829,-0.4266
4.654,-0.5808,-0.4291
4.688,-0.5877,-0.4268
4.714,-0.5866,-0.4267
4.747,-0.5851,-0.4264
4.773,-0.5858,-0.4249
4.803,-0.5845,-0.425
4.834,-0.5837,-0.4241
4.863,-0.584,-0.4278
4.891,-0.5819,-0.4291
4.922,-0.5851,-0.4259
4.952,-0.5811,-0.4279
4.981,-0.5865,-0.4247
5.011,-0.5848,-0.426
5.041,-0.5875,-0.4288
5.072,-0.583,-0.4268
5.101,-0.5863,-0.4282
5.128,-0.5837,-0.4263
5.158,-0.5876,-0.4285
5.188,-0.5856,-0.4258
5.217,-0.585,-0.4271
5.247,-0.5865,-0.4271
5.278,-0.5851,-0.4304
5.307,-0.5848,-0.4265
5.337,-0.5863,-0.4273
